elapsed_s,src_ip,rate_kbps,pps
37.863,10.0.1.1,575,41.9
38.881,10.0.1.1,575,48.2
39.881,10.0.1.1,575,48.0
40.910,10.0.1.1,575,47.6
41.923,10.0.1.1,575,47.4
42.929,10.0.1.1,575,47.7
43.941,10.0.1.1,575,48.4
44.943,10.0.1.1,575,47.9
45.950,10.0.1.1,575,43.7
46.959,10.0.1.1,575,43.6
47.963,10.0.1.1,575,45.8
48.977,10.0.1.1,575,46.4
49.998,10.0.1.1,572,46.0
51.018,10.0.1.1,575,48.0
52.040,10.0.1.1,575,46.0
53.051,10.0.1.1,575,47.5
54.068,10.0.1.1,575,47.2
55.082,10.0.1.1,575,46.4
56.092,10.0.1.1,575,46.5
57.106,10.0.1.1,575,47.3
58.113,10.0.1.1,473,26.8
58.282,10.0.2.2,444,25.3
59.132,10.0.1.1,324,26.5
59.298,10.0.2.2,304,26.6
60.159,10.0.1.1,197,27.3
60.305,10.0.2.2,185,26.8
61.159,10.0.1.1,100,26.0
61.324,10.0.2.2,89,26.5
62.201,10.0.1.1,382,19.2
62.372,10.0.2.2,379,19.1
63.219,10.0.1.1,324,26.5
63.395,10.0.2.2,285,27.4
64.255,10.0.1.1,301,26.1
64.429,10.0.2.2,298,25.1
65.289,10.0.1.1,333,26.1
65.436,10.0.2.2,330,26.8
66.301,10.0.1.1,278,25.7
66.457,10.0.2.2,245,26.4
67.328,10.0.1.1,342,27.3
67.508,10.0.2.2,339,25.7
68.353,10.0.1.1,267,26.3
68.568,10.0.2.2,264,26.4
69.365,10.0.1.1,270,24.7
69.580,10.0.2.2,278,24.7
70.391,10.0.1.1,303,24.4
70.608,10.0.2.2,312,25.3
71.410,10.0.1.1,319,26.5
71.627,10.0.2.2,313,26.5
72.424,10.0.1.1,292,26.6
72.651,10.0.2.2,286,26.4
73.456,10.0.1.1,309,26.2
73.674,10.0.2.2,318,26.4
74.457,10.0.1.1,309,27.0
74.674,10.0.2.2,303,27.0
75.480,10.0.1.1,306,26.4
75.713,10.0.2.2,315,26.0
76.506,10.0.1.1,309,26.3
76.739,10.0.2.2,303,26.3
77.539,10.0.1.1,306,26.1
77.756,10.0.2.2,312,26.5
78.598,10.0.1.1,255,17.9
78.794,10.0.2.2,240,15.4
78.810,10.0.3.3,225,17.4
79.627,10.0.1.1,155,17.5
79.811,10.0.2.2,146,17.7
79.838,10.0.3.3,137,17.5
80.702,10.0.1.1,85,16.8
80.846,10.0.2.2,71,17.4
80.882,10.0.3.3,68,17.2
81.750,10.0.1.1,216,13.4
81.853,10.0.2.2,216,12.9
81.889,10.0.3.3,216,12.9
82.790,10.0.1.1,192,17.3
82.889,10.0.2.2,189,17.4
82.925,10.0.3.3,189,17.4
83.795,10.0.1.1,199,16.9
83.914,10.0.2.2,199,16.6
83.959,10.0.3.3,196,16.4
84.837,10.0.1.1,211,17.3
84.946,10.0.2.2,217,17.4
85.000,10.0.3.3,214,17.3
85.891,10.0.1.1,193,17.1
86.018,10.0.2.2,190,16.8
86.037,10.0.3.3,187,17.4
86.975,10.0.1.1,200,16.6
87.035,10.0.2.2,197,16.7
87.055,10.0.3.3,197,16.7
87.999,10.0.1.1,206,17.6
88.070,10.0.2.2,203,17.4
88.088,10.0.3.3,203,17.4
89.052,10.0.1.1,200,17.1
89.072,10.0.2.2,197,18.0
89.088,10.0.3.3,197,17.0
90.073,10.0.1.1,203,17.6
90.098,10.0.2.2,203,16.6
90.137,10.0.3.3,200,17.2
91.091,10.0.1.1,197,17.7
91.110,10.0.2.2,197,17.8
91.150,10.0.3.3,194,17.8
92.146,10.0.1.1,200,17.1
92.171,10.0.2.2,200,17.0
92.186,10.0.3.3,197,17.4
93.168,10.0.1.1,194,17.6
93.201,10.0.2.2,194,17.5
93.219,10.0.3.3,191,17.4
94.172,10.0.1.1,202,16.9
94.227,10.0.3.3,202,16.9
94.263,10.0.2.2,202,16.9
95.211,10.0.1.1,208,17.3
