elapsed_s,src_ip,rate_kbps,pps
18.125,10.0.1.1,575,43.1
19.158,10.0.1.1,575,45.5
20.158,10.0.1.1,575,47.0
21.161,10.0.1.1,575,46.9
22.169,10.0.1.1,575,46.6
23.179,10.0.1.1,575,46.5
24.190,10.0.1.1,575,46.5
25.210,10.0.1.1,572,46.1
26.213,10.0.1.1,575,47.9
27.218,10.0.1.1,575,47.7
28.223,10.0.1.1,575,46.8
29.225,10.0.1.1,575,46.9
30.235,10.0.1.1,575,47.5
31.239,10.0.1.1,575,46.8
32.252,10.0.1.1,575,46.4
33.270,10.0.1.1,575,47.1
34.276,10.0.1.1,575,46.7
35.292,10.0.1.1,575,46.3
36.306,10.0.1.1,575,46.4
37.329,10.0.1.1,575,47.9
38.356,10.0.1.1,444,27.3
38.477,10.0.2.2,444,25.0
39.375,10.0.1.1,304,26.5
39.494,10.0.2.2,285,26.5
40.421,10.0.1.1,185,26.8
40.512,10.0.2.2,174,26.5
41.440,10.0.1.1,79,26.5
41.512,10.0.2.2,75,26.0
42.469,10.0.1.1,378,19.4
42.531,10.0.2.2,375,19.6
43.475,10.0.1.1,240,26.8
43.542,10.0.2.2,225,26.7
44.514,10.0.1.1,306,24.1
44.575,10.0.2.2,306,24.2
45.516,10.0.1.1,325,26.0
45.578,10.0.2.2,325,25.9
46.539,10.0.1.1,298,27.4
46.629,10.0.2.2,298,26.6
47.558,10.0.1.1,309,26.5
47.648,10.0.2.2,309,26.5
48.566,10.0.1.1,318,25.8
48.675,10.0.2.2,315,26.3
49.578,10.0.1.1,291,26.7
49.688,10.0.2.2,288,26.7
50.583,10.0.1.1,320,25.9
50.693,10.0.2.2,317,25.9
51.583,10.0.1.1,324,27.0
51.712,10.0.2.2,321,26.5
52.588,10.0.1.1,297,26.9
52.728,10.0.2.2,294,26.6
53.639,10.0.1.1,284,25.7
53.736,10.0.2.2,292,26.8
54.644,10.0.1.1,316,25.9
54.785,10.0.2.2,310,24.8
55.659,10.0.1.1,316,25.6
55.789,10.0.2.2,310,26.9
56.661,10.0.1.1,289,26.9
56.807,10.0.2.2,294,26.5
57.676,10.0.1.1,318,26.6
57.833,10.0.2.2,312,26.3
58.676,10.0.1.1,270,18.0
58.840,10.0.2.2,254,16.9
59.058,10.0.3.3,225,18.0
59.750,10.0.1.1,165,17.7
59.859,10.0.2.2,155,17.7
60.095,10.0.3.3,137,17.4
60.767,10.0.1.1,95,16.7
60.864,10.0.2.2,90,16.9
61.150,10.0.3.3,68,17.1
61.786,10.0.1.1,210,12.8
61.942,10.0.2.2,210,13.0
62.170,10.0.3.3,216,12.7
62.833,10.0.1.1,198,17.2
62.970,10.0.2.2,195,17.5
63.225,10.0.3.3,189,17.1
63.873,10.0.1.1,193,17.3
63.992,10.0.2.2,199,16.6
64.241,10.0.3.3,196,16.7
64.874,10.0.1.1,205,17.0
65.007,10.0.2.2,211,17.7
65.275,10.0.3.3,205,17.4
65.882,10.0.1.1,190,17.9
66.020,10.0.2.2,195,16.8
66.277,10.0.3.3,192,17.0
66.896,10.0.1.1,206,16.8
67.027,10.0.2.2,206,16.9
67.308,10.0.3.3,200,17.5
67.955,10.0.1.1,212,17.0
68.137,10.0.2.2,212,17.1
68.376,10.0.3.3,206,16.9
68.955,10.0.1.1,188,18.0
69.245,10.0.2.2,182,17.1
69.404,10.0.3.3,187,17.5
70.013,10.0.1.1,198,16.1
70.276,10.0.2.2,204,16.5
70.415,10.0.3.3,198,16.8
71.042,10.0.1.1,204,17.5
71.278,10.0.2.2,201,18.0
71.423,10.0.3.3,207,16.9
72.060,10.0.1.1,210,17.7
72.332,10.0.2.2,204,17.1
72.514,10.0.3.3,198,17.4
73.062,10.0.1.1,204,17.0
73.371,10.0.2.2,198,17.3
73.537,10.0.3.3,204,17.6
74.099,10.0.1.1,198,17.4
74.408,10.0.2.2,204,17.4
