elapsed_s,src_ip,rate_kbps,pps
3.680,10.0.1.1,575,42.6
4.686,10.0.1.1,575,46.7
5.716,10.0.1.1,572,45.6
6.724,10.0.1.1,575,46.6
7.737,10.0.1.1,575,47.4
8.754,10.0.1.1,575,47.2
9.756,10.0.1.1,575,46.9
10.770,10.0.1.1,575,47.3
11.775,10.0.1.1,572,47.8
12.786,10.0.1.1,575,48.5
13.807,10.0.1.1,575,47.0
14.827,10.0.1.1,575,46.0
15.830,10.0.1.1,575,45.9
16.849,10.0.1.1,575,48.1
17.851,10.0.1.1,575,46.9
18.868,10.0.1.1,575,47.2
19.887,10.0.1.1,575,47.1
20.900,10.0.1.1,575,47.4
21.911,10.0.1.1,575,46.5
22.916,10.0.1.1,575,46.8
23.940,10.0.1.1,444,26.4
24.046,10.0.2.2,444,24.8
24.949,10.0.1.1,324,25.8
25.075,10.0.2.2,304,26.2
26.001,10.0.1.1,185,27.6
26.102,10.0.2.2,174,27.3
27.019,10.0.1.1,89,26.5
27.128,10.0.2.2,79,26.3
28.021,10.0.1.1,297,18.0
28.134,10.0.2.2,297,17.9
29.027,10.0.1.1,315,25.8
29.168,10.0.2.2,312,26.1
30.057,10.0.1.1,312,26.2
30.197,10.0.2.2,309,26.2
31.077,10.0.1.1,312,26.5
31.201,10.0.2.2,309,26.9
32.092,10.0.1.1,315,26.6
32.205,10.0.2.2,312,26.9
33.111,10.0.1.1,318,26.5
33.250,10.0.2.2,315,25.8
34.156,10.0.1.1,315,25.8
34.293,10.0.2.2,309,26.8
35.184,10.0.1.1,300,27.2
35.347,10.0.2.2,297,26.6
36.204,10.0.1.1,331,26.5
36.367,10.0.2.2,328,26.5
37.221,10.0.1.1,304,26.5
37.423,10.0.2.2,301,26.5
38.239,10.0.1.1,288,26.5
38.444,10.0.2.2,288,26.4
39.251,10.0.1.1,312,25.7
39.451,10.0.2.2,318,25.8
40.288,10.0.1.1,342,26.0
40.498,10.0.2.2,318,25.8
41.306,10.0.1.1,252,26.5
41.509,10.0.2.2,246,27.7
42.329,10.0.1.1,268,23.5
42.518,10.0.2.2,276,22.8
43.347,10.0.1.1,310,24.6
43.565,10.0.2.2,307,22.9
44.365,10.0.1.1,239,16.7
44.456,10.0.3.3,225,17.7
44.602,10.0.2.2,211,16.4
45.365,10.0.1.1,155,17.0
45.475,10.0.3.3,146,17.7
45.602,10.0.2.2,137,17.0
46.402,10.0.1.1,80,17.4
46.529,10.0.3.3,74,17.1
46.690,10.0.2.2,148,15.6
47.447,10.0.1.1,156,11.5
47.544,10.0.3.3,156,10.8
47.758,10.0.2.2,160,12.2
48.449,10.0.1.1,175,14.0
48.614,10.0.3.3,175,14.0
48.781,10.0.2.2,180,14.7
49.493,10.0.1.1,195,15.3
49.621,10.0.3.3,195,15.9
49.788,10.0.2.2,201,15.9
50.506,10.0.1.1,216,17.8
50.651,10.0.3.3,213,17.5
50.833,10.0.2.2,210,17.2
51.524,10.0.1.1,192,16.7
51.687,10.0.3.3,186,17.4
51.870,10.0.2.2,183,17.4
52.571,10.0.1.1,195,17.2
52.723,10.0.3.3,195,16.4
52.965,10.0.2.2,201,16.4
53.613,10.0.1.1,216,17.3
53.740,10.0.3.3,213,17.7
54.032,10.0.2.2,207,17.8
54.618,10.0.1.1,192,16.9
54.743,10.0.3.3,189,17.0
55.068,10.0.2.2,180,17.4
55.693,10.0.1.1,187,16.7
55.765,10.0.3.3,192,16.6
56.070,10.0.2.2,198,16.0
56.774,10.0.1.1,213,16.6
56.846,10.0.3.3,210,16.6
57.119,10.0.2.2,204,17.2
57.778,10.0.1.1,195,16.9
57.884,10.0.3.3,192,17.4
58.158,10.0.2.2,198,17.3
58.782,10.0.1.1,201,17.9
58.929,10.0.3.3,198,17.2
59.217,10.0.2.2,201,17.0
59.856,10.0.1.1,195,16.8
59.982,10.0.3.3,201,18.0
60.253,10.0.2.2,198,17.4
60.857,10.0.1.1,201,18.0
60.999,10.0.3.3,198,16.7
61.302,10.0.2.2,201,17.2
61.911,10.0.1.1,192,17.1
62.035,10.0.3.3,198,17.4
62.327,10.0.2.2,201,17.6
62.927,10.0.1.1,207,17.7
63.072,10.0.3.3,204,17.4
63.399,10.0.2.2,195,17.7
63.948,10.0.1.1,192,15.7
64.145,10.0.3.3,180,14.9
64.472,10.0.2.2,159,13.0
64.872,10.0.4.4,141,14.3
64.982,10.0.1.1,133,11.6
65.182,10.0.3.3,125,12.5
65.491,10.0.2.2,111,12.8
65.908,10.0.4.4,88,12.5
66.037,10.0.1.1,78,13.3
66.218,10.0.3.3,71,12.5
66.604,10.0.2.2,132,10.8
66.997,10.0.4.4,132,10.1
67.106,10.0.1.1,132,10.3
67.235,10.0.3.3,132,9.8
67.652,10.0.2.2,132,11.4
68.036,10.0.4.4,132,11.5
68.107,10.0.1.1,132,11.0
68.304,10.0.3.3,132,11.2
68.688,10.0.2.2,132,11.6
69.041,10.0.4.4,132,11.9
69.132,10.0.1.1,132,11.7
69.305,10.0.3.3,132,12.0
69.795,10.0.2.2,132,10.8
70.065,10.0.4.4,132,10.7
70.139,10.0.1.1,132,10.9
70.320,10.0.3.3,132,10.8
70.861,10.0.2.2,132,11.3
71.103,10.0.4.4,132,11.6
71.183,10.0.1.1,132,11.5
71.394,10.0.3.3,133,11.2
71.898,10.0.2.2,133,11.6
72.134,10.0.4.4,133,11.6
72.247,10.0.1.1,133,11.3
72.529,10.0.3.3,134,11.5
72.976,10.0.2.2,134,11.1
73.230,10.0.4.4,134,11.0
73.278,10.0.1.1,134,11.6
73.571,10.0.3.3,134,11.5
74.003,10.0.2.2,134,11.7
74.241,10.0.4.4,134,11.9
74.288,10.0.1.1,134,11.9
74.580,10.0.3.3,134,11.9
75.010,10.0.2.2,134,11.9
75.266,10.0.4.4,134,11.7
75.367,10.0.1.1,134,11.1
75.595,10.0.3.3,134,11.8
76.079,10.0.2.2,147,11.2
76.298,10.0.4.4,147,11.6
