elapsed_s,src_ip,rate_kbps,pps,ce_fraction,congested
67.224,10.0.3.3,91,6.8,1.0000,1
67.516,10.0.4.4,361,31.0,1.0000,1
67.971,10.0.1.1,91,7.3,1.0000,1
68.206,10.0.2.2,96,8.3,1.0000,1
68.233,10.0.3.3,83,6.9,1.0000,1
68.534,10.0.4.4,278,27.5,1.0000,1
69.116,10.0.1.1,83,7.9,1.0000,1
69.242,10.0.2.2,88,8.7,1.0000,1
69.279,10.0.3.3,77,7.6,1.0000,1
69.552,10.0.4.4,222,26.5,1.0000,1
70.153,10.0.1.1,77,8.7,1.0000,1
70.315,10.0.2.2,81,9.3,1.0000,1
70.370,10.0.3.3,71,8.3,1.0000,1
70.607,10.0.4.4,184,22.7,1.0000,1
71.208,10.0.1.1,71,9.5,0.9000,1
71.316,10.0.2.2,75,10.0,0.9000,1
71.388,10.0.3.3,66,8.8,0.7778,1
71.623,10.0.4.4,156,19.7,0.6500,1
72.347,10.0.1.1,66,6.1,0.0000,0
72.430,10.0.2.2,70,6.3,0.0000,0
72.492,10.0.3.3,62,5.4,0.0000,0
72.649,10.0.4.4,135,11.7,0.0000,0
73.446,10.0.1.1,101,8.2,0.0000,0
73.490,10.0.2.2,105,8.5,0.0000,0
73.546,10.0.3.3,98,7.6,0.0000,0
73.653,10.0.4.4,168,13.9,0.0000,0
74.454,10.0.1.1,155,11.9,0.0000,0
74.490,10.0.2.2,159,12.0,0.0000,0
74.563,10.0.3.3,153,11.8,0.0833,0
74.708,10.0.4.4,216,16.1,0.1765,0
75.527,10.0.1.1,215,12.1,0.9231,1
75.586,10.0.2.2,219,11.9,1.0000,1
75.603,10.0.3.3,214,11.5,1.0000,1
75.708,10.0.4.4,269,15.0,1.0000,1
76.600,10.0.1.1,271,12.1,1.0000,1
76.635,10.0.2.2,271,13.3,1.0000,1
76.654,10.0.3.3,271,12.4,1.0000,1
76.763,10.0.4.4,276,14.2,1.0000,1
77.636,10.0.2.2,271,14.0,1.0000,1
77.656,10.0.3.3,271,13.0,1.0000,1
77.835,10.0.1.1,226,11.3,1.0000,1
77.909,10.0.4.4,276,14.0,1.0000,1
78.654,10.0.2.2,226,9.8,1.0000,1
78.690,10.0.3.3,226,15.5,1.0000,1
78.872,10.0.1.1,226,13.5,1.0000,1
78.927,10.0.4.4,230,16.7,1.0000,1
79.709,10.0.3.3,190,13.7,1.0000,1
79.781,10.0.2.2,190,8.9,1.0000,1
79.872,10.0.1.1,190,17.0,1.0000,1
