elapsed_s,src_ip,rate_kbps,pps,ce_fraction,congested
9.598,10.0.1.1,575,41.3,0.0000,0
10.599,10.0.1.1,575,48.0,0.0000,0
11.612,10.0.1.1,575,46.4,0.0000,0
12.630,10.0.1.1,575,45.2,0.0000,0
13.635,10.0.1.1,575,46.8,0.0000,0
14.637,10.0.1.1,575,44.9,0.0000,0
15.638,10.0.1.1,575,45.9,0.0000,0
16.638,10.0.1.1,575,45.0,0.0000,0
17.644,10.0.1.1,575,45.7,0.0000,0
18.652,10.0.1.1,575,46.6,0.0000,0
19.678,10.0.1.1,575,45.8,0.0000,0
20.683,10.0.1.1,575,45.8,0.0000,0
21.700,10.0.1.1,575,44.2,0.0000,0
22.704,10.0.1.1,575,44.8,0.0000,0
23.725,10.0.1.1,575,45.1,0.0000,0
24.736,10.0.1.1,575,44.5,0.0000,0
25.738,10.0.1.1,575,46.9,0.0000,0
26.744,10.0.1.1,575,45.7,0.0000,0
27.756,10.0.1.1,575,45.5,0.0000,0
28.776,10.0.1.1,575,47.1,0.0000,0
29.786,10.0.1.1,575,38.6,0.1538,0
30.386,10.0.2.2,575,27.5,0.7500,1
30.805,10.0.1.1,575,27.5,1.0000,1
31.404,10.0.2.2,474,26.5,1.0000,1
31.805,10.0.1.1,575,28.0,1.0000,1
32.440,10.0.2.2,474,26.1,1.0000,1
32.859,10.0.1.1,474,26.6,1.0000,1
33.442,10.0.2.2,361,26.9,1.0000,1
33.895,10.0.1.1,361,29.9,1.0000,1
34.458,10.0.2.2,278,25.6,1.0000,1
34.913,10.0.1.1,222,27.5,1.0000,1
35.479,10.0.2.2,184,24.5,1.0000,1
35.969,10.0.1.1,184,26.5,1.0000,1
36.556,10.0.2.2,156,24.1,0.8462,1
37.015,10.0.1.1,156,20.1,0.5238,1
37.586,10.0.2.2,135,11.7,0.0000,0
38.063,10.0.1.1,135,11.4,0.0000,0
38.648,10.0.2.2,168,14.1,0.0000,0
39.125,10.0.1.1,168,14.1,0.0000,0
39.694,10.0.2.2,216,18.2,0.0000,0
40.163,10.0.1.1,216,18.3,0.0000,0
40.721,10.0.2.2,269,22.4,0.0000,0
41.187,10.0.1.1,269,22.5,0.0000,0
41.732,10.0.2.2,319,26.7,0.0000,0
42.205,10.0.1.1,319,25.5,0.0000,0
42.750,10.0.2.2,364,27.5,0.2500,0
43.205,10.0.1.1,364,26.0,0.7308,1
43.787,10.0.2.2,403,28.0,1.0000,1
44.224,10.0.1.1,332,24.5,1.0000,1
44.789,10.0.2.2,346,28.0,1.0000,1
45.226,10.0.1.1,272,24.9,1.0000,1
45.805,10.0.2.2,282,28.5,1.0000,1
46.243,10.0.1.1,223,24.6,0.9200,1
46.824,10.0.2.2,230,24.6,0.4000,1
47.302,10.0.1.1,186,17.0,0.0000,0
47.861,10.0.2.2,191,16.4,0.0000,0
48.304,10.0.1.1,221,18.0,0.0000,0
48.867,10.0.2.2,226,17.9,0.0000,0
49.342,10.0.1.1,266,22.2,0.0000,0
49.885,10.0.2.2,271,22.6,0.0000,0
50.358,10.0.1.1,313,25.6,0.0000,0
50.931,10.0.2.2,317,23.9,0.0000,0
51.391,10.0.1.1,357,20.3,0.3333,1
51.844,10.0.3.3,575,23.5,0.8750,1
51.950,10.0.2.2,360,15.7,1.0000,1
52.422,10.0.1.1,317,15.5,1.0000,1
52.881,10.0.3.3,474,23.1,1.0000,1
52.972,10.0.2.2,360,15.6,1.0000,1
53.440,10.0.1.1,317,16.7,1.0000,1
53.882,10.0.3.3,474,23.0,1.0000,1
54.059,10.0.2.2,318,14.7,1.0000,1
54.513,10.0.1.1,260,10.3,1.0000,1
54.949,10.0.3.3,361,25.3,1.0000,1
55.114,10.0.2.2,261,16.1,1.0000,1
55.525,10.0.1.1,214,15.8,1.0000,1
55.986,10.0.3.3,278,22.2,1.0000,1
56.135,10.0.2.2,215,14.7,1.0000,1
56.567,10.0.1.1,180,16.3,1.0000,1
56.986,10.0.3.3,222,20.0,1.0000,1
57.187,10.0.2.2,180,17.1,1.0000,1
57.639,10.0.1.1,134,14.9,1.0000,1
57.986,10.0.3.3,156,19.0,1.0000,1
58.204,10.0.2.2,134,16.7,1.0000,1
58.677,10.0.1.1,119,15.4,1.0000,1
59.004,10.0.3.3,135,18.7,1.0000,1
59.222,10.0.2.2,119,16.7,1.0000,1
59.688,10.0.1.1,107,14.8,0.7333,1
60.067,10.0.3.3,119,14.1,0.4667,1
60.296,10.0.2.2,107,11.2,0.2500,0
60.773,10.0.1.1,97,8.3,0.0000,0
61.170,10.0.3.3,106,9.1,0.0000,0
61.311,10.0.2.2,141,11.8,0.0000,0
61.806,10.0.1.1,131,10.7,0.0000,0
62.189,10.0.3.3,140,11.8,0.0000,0
62.320,10.0.2.2,192,15.9,0.0000,0
62.856,10.0.1.1,182,15.2,0.0000,0
63.220,10.0.3.3,191,15.5,0.0000,0
63.347,10.0.2.2,248,19.5,0.0000,0
63.874,10.0.1.1,239,16.7,0.4118,1
64.293,10.0.3.3,247,15.8,0.7059,1
64.365,10.0.2.2,302,19.6,0.8500,1
64.874,10.0.1.1,272,17.0,1.0000,1
65.310,10.0.3.3,273,16.7,1.0000,1
65.401,10.0.2.2,308,19.3,1.0000,1
65.928,10.0.1.1,227,16.1,1.0000,1
66.347,10.0.3.3,228,17.4,1.0000,1
66.419,10.0.2.2,254,19.6,1.0000,1
66.929,10.0.1.1,191,16.0,1.0000,1
67.347,10.0.3.3,191,17.0,1.0000,1
67.420,10.0.2.2,210,19.0,1.0000,1
68.001,10.0.1.1,163,15.9,1.0000,1
68.347,10.0.3.3,163,17.0,1.0000,1
68.474,10.0.2.2,177,19.0,1.0000,1
69.002,10.0.1.1,141,16.0,1.0000,1
69.403,10.0.3.3,141,17.0,1.0000,1
69.513,10.0.2.2,152,18.3,1.0000,1
70.110,10.0.1.1,124,15.3,1.0000,1
70.439,10.0.3.3,124,12.6,1.0000,1
70.532,10.0.2.2,133,12.8,1.0000,1
71.023,10.0.4.4,575,29.4,1.0000,1
71.281,10.0.1.1,111,6.8,1.0000,1
71.494,10.0.3.3,111,7.6,1.0000,1
71.550,10.0.2.2,118,7.9,1.0000,1
72.055,10.0.4.4,474,30.0,1.0000,1
72.329,10.0.1.1,100,7.6,1.0000,1
72.547,10.0.3.3,100,7.6,1.0000,1
72.564,10.0.2.2,106,7.9,1.0000,1
73.074,10.0.4.4,361,30.4,1.0000,1
73.404,10.0.1.1,91,7.4,1.0000,1
73.584,10.0.2.2,96,7.8,1.0000,1
73.619,10.0.3.3,91,7.5,1.0000,1
74.092,10.0.4.4,278,27.5,1.0000,1
74.438,10.0.1.1,83,7.7,1.0000,1
74.621,10.0.3.3,83,8.0,1.0000,1
74.654,10.0.2.2,88,8.4,1.0000,1
75.110,10.0.4.4,222,25.5,1.0000,1
75.529,10.0.1.1,77,8.2,1.0000,1
75.655,10.0.3.3,77,8.7,1.0000,1
75.728,10.0.2.2,81,9.3,1.0000,1
76.129,10.0.4.4,184,22.6,1.0000,1
76.601,10.0.1.1,71,9.3,1.0000,1
76.746,10.0.2.2,75,9.8,0.9000,1
76.767,10.0.3.3,71,9.0,1.0000,1
77.131,10.0.4.4,156,20.0,0.6500,1
77.674,10.0.1.1,66,6.5,0.1429,0
77.812,10.0.2.2,70,6.6,0.0000,0
77.887,10.0.3.3,66,6.3,0.0000,0
78.167,10.0.4.4,135,11.6,0.0000,0
78.790,10.0.1.1,101,8.1,0.0000,0
78.860,10.0.2.2,105,8.6,0.0000,0
78.891,10.0.3.3,101,8.0,0.0000,0
79.188,10.0.4.4,168,13.7,0.0000,0
79.839,10.0.1.1,155,11.4,0.0000,0
79.893,10.0.2.2,159,11.6,0.0000,0
79.966,10.0.3.3,155,11.2,0.0833,0
80.221,10.0.4.4,216,14.5,0.3333,1
80.912,10.0.2.2,219,12.8,1.0000,1
80.948,10.0.1.1,215,12.6,0.9286,1
81.021,10.0.3.3,215,12.3,1.0000,1
81.258,10.0.4.4,223,13.5,1.0000,1
81.967,10.0.2.2,271,13.3,1.0000,1
82.022,10.0.1.1,271,13.0,1.0000,1
82.075,10.0.3.3,271,13.3,1.0000,1
82.277,10.0.4.4,190,11.8,1.0000,1
83.002,10.0.2.2,271,14.5,1.0000,1
83.039,10.0.1.1,271,14.7,1.0000,1
83.094,10.0.3.3,271,14.7,1.0000,1
83.348,10.0.4.4,190,9.3,1.0000,1
84.003,10.0.2.2,226,13.0,1.0000,1
84.057,10.0.1.1,226,13.8,1.0000,1
84.130,10.0.3.3,226,18.3,1.0000,1
84.385,10.0.4.4,163,9.6,1.0000,1
85.021,10.0.2.2,190,15.7,1.0000,1
85.111,10.0.1.1,190,13.3,1.0000,1
85.185,10.0.3.3,190,12.3,1.0000,1
85.440,10.0.4.4,142,12.3,1.0000,1
86.075,10.0.2.2,162,14.2,1.0000,1
86.166,10.0.1.1,162,12.3,1.0000,1
86.221,10.0.3.3,162,13.5,1.0000,1
86.512,10.0.4.4,125,11.2,1.0000,1
87.095,10.0.2.2,141,13.7,1.0000,1
87.203,10.0.1.1,141,13.5,1.0000,1
87.239,10.0.3.3,141,12.8,1.0000,1
87.551,10.0.4.4,112,10.6,1.0000,1
88.148,10.0.2.2,111,12.3,1.0000,1
88.204,10.0.1.1,111,13.0,1.0000,1
88.239,10.0.3.3,111,13.0,1.0000,1
88.585,10.0.4.4,92,11.6,1.0000,1
89.167,10.0.2.2,100,12.8,1.0000,1
89.221,10.0.1.1,100,12.8,1.0000,1
89.274,10.0.3.3,100,12.6,1.0000,1
89.621,10.0.4.4,84,10.6,1.0000,1
90.183,10.0.2.2,91,11.8,0.6667,1
90.302,10.0.1.1,91,11.1,0.5833,1
90.358,10.0.3.3,91,11.1,0.5833,1
90.752,10.0.4.4,77,8.0,0.2222,0
91.289,10.0.2.2,83,7.2,0.0000,0
91.398,10.0.1.1,83,7.3,0.0000,0
91.471,10.0.3.3,83,7.2,0.0000,0
91.821,10.0.4.4,112,9.4,0.0000,0
92.336,10.0.2.2,118,9.6,0.0000,0
92.418,10.0.1.1,118,9.8,0.0000,0
92.489,10.0.3.3,118,9.8,0.0000,0
92.889,10.0.4.4,165,13.1,0.0000,0
93.345,10.0.2.2,171,12.9,0.1538,0
93.472,10.0.1.1,171,12.3,0.3077,1
93.546,10.0.3.3,171,12.3,0.3077,1
93.944,10.0.4.4,224,14.2,0.7333,1
94.418,10.0.2.2,229,13.1,1.0000,1
94.472,10.0.1.1,217,12.0,1.0000,1
94.598,10.0.3.3,217,12.4,1.0000,1
94.961,10.0.4.4,271,14.7,1.0000,1
95.437,10.0.2.2,272,13.7,1.0000,1
95.522,10.0.1.1,186,11.4,1.0000,1
95.656,10.0.3.3,186,11.3,1.0000,1
95.980,10.0.4.4,226,14.7,1.0000,1
96.471,10.0.2.2,272,16.4,1.0000,1
96.579,10.0.1.1,186,11.3,1.0000,1
96.725,10.0.3.3,186,11.2,1.0000,1
96.998,10.0.4.4,226,13.8,1.0000,1
97.491,10.0.2.2,227,15.7,1.0000,1
97.580,10.0.1.1,160,12.0,1.0000,1
97.744,10.0.3.3,160,10.8,1.0000,1
98.052,10.0.4.4,190,15.2,1.0000,1
98.516,10.0.2.2,191,13.7,1.0000,1
98.599,10.0.1.1,140,12.8,1.0000,1
98.798,10.0.3.3,140,10.4,1.0000,1
99.071,10.0.4.4,162,14.7,1.0000,1
99.546,10.0.2.2,163,15.5,1.0000,1
99.653,10.0.1.1,124,11.4,1.0000,1
99.853,10.0.3.3,111,12.3,1.0000,1
100.108,10.0.4.4,124,14.5,1.0000,1
100.562,10.0.2.2,124,16.7,1.0000,1
100.853,10.0.3.3,100,15.0,1.0000,1
101.126,10.0.4.4,111,16.7,1.0000,1
101.626,10.0.2.2,111,16.0,0.7059,1
101.861,10.0.3.3,91,10.9,0.4545,1
102.173,10.0.4.4,100,10.5,0.1818,0
102.658,10.0.2.2,100,8.7,0.0000,0
102.966,10.0.3.3,83,7.2,0.0000,0
103.253,10.0.4.4,134,11.1,0.0000,0
103.737,10.0.2.2,134,11.1,0.0000,0
103.998,10.0.3.3,118,9.7,0.0000,0
104.255,10.0.4.4,185,15.0,0.0000,0
104.778,10.0.2.2,185,15.4,0.0000,0
105.037,10.0.3.3,171,13.5,0.0000,0
105.288,10.0.4.4,242,19.4,0.0000,0
105.818,10.0.2.2,242,17.3,0.4444,1
106.107,10.0.3.3,229,15.9,0.6471,1
106.307,10.0.4.4,296,19.6,0.8500,1
106.871,10.0.2.2,273,17.1,1.0000,1
107.124,10.0.3.3,272,16.7,1.0000,1
107.343,10.0.4.4,308,19.3,1.0000,1
107.928,10.0.2.2,228,16.1,1.0000,1
108.143,10.0.3.3,227,16.7,1.0000,1
108.379,10.0.4.4,254,19.3,1.0000,1
108.943,10.0.2.2,191,16.7,1.0000,1
109.162,10.0.3.3,191,16.7,1.0000,1
109.420,10.0.4.4,210,19.2,1.0000,1
109.948,10.0.2.2,163,15.9,1.0000,1
110.179,10.0.3.3,163,16.7,1.0000,1
110.471,10.0.4.4,177,19.0,1.0000,1
111.011,10.0.2.2,141,15.1,1.0000,1
111.197,10.0.3.3,141,16.7,1.0000,1
111.525,10.0.4.4,152,18.0,1.0000,1
112.015,10.0.2.2,124,17.9,0.8333,1
112.217,10.0.3.3,124,15.7,0.7500,1
112.577,10.0.4.4,133,15.2,0.4375,1
113.065,10.0.2.2,111,9.5,0.0000,0
113.279,10.0.3.3,111,9.4,0.0000,0
113.665,10.0.4.4,118,10.1,0.0000,0
114.138,10.0.2.2,145,12.1,0.0000,0
114.335,10.0.3.3,145,12.3,0.0000,0
114.686,10.0.4.4,152,12.7,0.0000,0
115.186,10.0.2.2,195,16.2,0.0000,0
115.405,10.0.3.3,195,15.9,0.0000,0
115.696,10.0.4.4,202,15.8,0.0000,0
116.227,10.0.2.2,250,18.2,0.3158,1
116.477,10.0.3.3,250,17.7,0.5789,1
116.732,10.0.4.4,256,17.4,0.8333,1
117.241,10.0.2.2,274,17.8,1.0000,1
117.514,10.0.3.3,274,17.4,1.0000,1
117.768,10.0.4.4,275,17.4,1.0000,1
118.296,10.0.2.2,228,17.1,1.0000,1
118.550,10.0.3.3,228,17.4,1.0000,1
118.787,10.0.4.4,229,18.7,1.0000,1
119.314,10.0.2.2,191,16.7,1.0000,1
119.586,10.0.3.3,191,17.4,1.0000,1
119.823,10.0.4.4,192,18.3,1.0000,1
120.605,10.0.3.3,163,21.6,1.0000,1
120.860,10.0.4.4,164,24.1,0.9600,1
121.622,10.0.3.3,141,15.7,0.3125,1
121.935,10.0.4.4,142,13.0,0.0000,0
122.640,10.0.3.3,124,10.8,0.0000,0
122.954,10.0.4.4,177,14.7,0.0000,0
123.689,10.0.3.3,158,13.3,0.0000,0
124.005,10.0.4.4,225,19.0,0.0000,0
124.712,10.0.3.3,208,17.6,0.0000,0
125.034,10.0.4.4,277,23.3,0.0000,0
125.714,10.0.3.3,262,21.9,0.0000,0
126.077,10.0.4.4,326,26.8,0.0000,0
126.714,10.0.3.3,314,25.0,0.0000,0
127.095,10.0.4.4,370,28.5,0.1724,0
127.732,10.0.3.3,360,25.6,0.9231,1
128.096,10.0.4.4,408,28.0,1.0000,1
128.750,10.0.3.3,332,24.5,1.0000,1
129.096,10.0.4.4,350,28.0,1.0000,1
129.751,10.0.3.3,272,25.0,1.0000,1
130.096,10.0.4.4,285,28.0,1.0000,1
130.751,10.0.3.3,223,25.0,1.0000,1
131.108,10.0.4.4,232,27.7,0.7857,1
131.763,10.0.3.3,186,18.8,0.2105,0
132.131,10.0.4.4,192,16.6,0.0000,0
132.790,10.0.3.3,221,18.5,0.0000,0
133.132,10.0.4.4,227,19.0,0.0000,0
133.809,10.0.3.3,266,22.6,0.0000,0
134.147,10.0.4.4,272,22.6,0.0000,0
134.816,10.0.3.3,313,25.8,0.0000,0
135.198,10.0.4.4,318,25.7,0.0000,0
135.852,10.0.3.3,357,27.0,0.2143,0
136.217,10.0.4.4,361,26.5,0.6667,1
136.853,10.0.3.3,396,28.0,1.0000,1
137.253,10.0.4.4,318,24.1,1.0000,1
137.871,10.0.3.3,339,28.5,1.0000,1
138.253,10.0.4.4,261,24.0,1.0000,1
138.907,10.0.3.3,277,29.0,1.0000,1
139.271,10.0.4.4,215,24.6,0.8000,1
139.922,10.0.3.3,226,22.7,0.2609,0
140.274,10.0.4.4,180,16.0,0.0000,0
141.275,10.0.4.4,215,18.0,0.0000,0
142.310,10.0.4.4,261,20.3,0.0000,0
143.351,10.0.4.4,309,25.9,0.0000,0
144.369,10.0.4.4,354,29.5,0.0000,0
145.374,10.0.4.4,393,32.9,0.0000,0
146.397,10.0.4.4,427,34.2,0.0000,0
147.432,10.0.4.4,455,36.7,0.0000,0
148.434,10.0.4.4,478,39.9,0.0000,0
149.447,10.0.4.4,497,40.5,0.0000,0
150.454,10.0.4.4,512,41.7,0.0000,0
151.456,10.0.4.4,524,42.9,0.0000,0
152.476,10.0.4.4,534,43.1,0.0000,0
153.490,10.0.4.4,542,39.4,0.0000,0
154.513,10.0.4.4,548,41.1,0.0000,0
155.531,10.0.4.4,553,41.3,0.0000,0
156.554,10.0.4.4,558,40.1,0.0000,0
157.573,10.0.4.4,563,46.1,0.0000,0
158.582,10.0.4.4,568,46.6,0.0000,0
159.592,10.0.4.4,573,46.5,0.0000,0
