elapsed_s,src_ip,rate_kbps,pps,ce_fraction,congested
7.818,10.0.1.1,575,46.0,0.0000,0
8.820,10.0.1.1,575,45.9,0.0000,0
9.830,10.0.1.1,575,46.5,0.0000,0
10.839,10.0.1.1,575,46.6,0.0000,0
11.855,10.0.1.1,575,46.3,0.0000,0
12.861,10.0.1.1,575,44.7,0.0000,0
13.870,10.0.1.1,575,45.6,0.0000,0
14.884,10.0.1.1,575,46.4,0.0000,0
15.910,10.0.1.1,575,45.8,0.0000,0
16.927,10.0.1.1,575,46.2,0.0000,0
17.946,10.0.1.1,575,46.1,0.0000,0
18.965,10.0.1.1,575,45.1,0.0000,0
19.979,10.0.1.1,575,45.4,0.0000,0
20.980,10.0.1.1,575,46.0,0.0000,0
21.985,10.0.1.1,575,45.8,0.0000,0
22.998,10.0.1.1,575,46.4,0.0000,0
23.998,10.0.1.1,575,46.0,0.0000,0
25.010,10.0.1.1,575,46.5,0.0000,0
26.028,10.0.1.1,575,45.2,0.0000,0
27.033,10.0.1.1,575,45.8,0.0000,0
28.064,10.0.1.1,575,33.0,0.4118,1
28.391,10.0.2.2,575,27.9,0.7931,1
29.100,10.0.1.1,474,26.0,1.0000,1
29.445,10.0.2.2,474,27.5,1.0000,1
30.119,10.0.1.1,474,26.5,1.0000,1
30.463,10.0.2.2,474,28.5,1.0000,1
31.137,10.0.1.1,361,26.5,1.0000,1
31.465,10.0.2.2,361,26.0,1.0000,1
32.173,10.0.1.1,278,26.1,1.0000,1
32.500,10.0.2.2,278,27.1,1.0000,1
33.228,10.0.1.1,184,24.7,1.0000,1
33.500,10.0.2.2,184,27.0,1.0000,1
34.288,10.0.1.1,156,23.6,0.8000,1
34.550,10.0.2.2,156,21.0,0.5909,1
35.321,10.0.1.1,135,11.6,0.0000,0
35.576,10.0.2.2,135,11.7,0.0000,0
36.333,10.0.1.1,168,13.8,0.0000,0
36.589,10.0.2.2,168,13.8,0.0000,0
37.341,10.0.1.1,216,17.9,0.0000,0
37.612,10.0.2.2,216,17.6,0.0000,0
38.357,10.0.1.1,269,22.6,0.0000,0
38.640,10.0.2.2,269,22.4,0.0000,0
39.358,10.0.1.1,319,26.0,0.0000,0
39.684,10.0.2.2,319,25.9,0.0000,0
40.375,10.0.1.1,364,27.5,0.2857,0
40.702,10.0.2.2,364,26.5,0.6667,1
41.375,10.0.1.1,403,28.0,1.0000,1
41.739,10.0.2.2,332,24.1,1.0000,1
42.377,10.0.1.1,346,28.0,1.0000,1
42.757,10.0.2.2,272,24.5,1.0000,1
43.412,10.0.1.1,282,29.0,1.0000,1
43.793,10.0.2.2,223,25.1,1.0000,1
44.416,10.0.1.1,230,24.9,0.4800,1
44.802,10.0.2.2,186,17.9,0.0000,0
45.451,10.0.1.1,191,16.4,0.0000,0
45.859,10.0.2.2,221,18.0,0.0000,0
46.467,10.0.1.1,226,18.7,0.0000,0
46.875,10.0.2.2,266,21.6,0.0000,0
47.489,10.0.1.1,271,22.5,0.0000,0
47.894,10.0.2.2,313,26.5,0.0000,0
48.511,10.0.1.1,317,25.4,0.0000,0
48.911,10.0.2.2,357,27.5,0.0000,0
49.511,10.0.1.1,360,20.0,0.5000,1
49.930,10.0.2.2,396,16.7,1.0000,1
50.002,10.0.3.3,575,23.2,1.0000,1
50.512,10.0.1.1,318,15.0,1.0000,1
50.984,10.0.2.2,396,17.1,1.0000,1
51.021,10.0.3.3,575,22.6,1.0000,1
51.530,10.0.1.1,318,15.7,1.0000,1
52.039,10.0.3.3,474,18.7,1.0000,1
52.065,10.0.2.2,339,19.4,1.0000,1
52.530,10.0.1.1,261,16.0,1.0000,1
53.041,10.0.3.3,361,21.0,1.0000,1
53.148,10.0.2.2,277,17.6,1.0000,1
53.567,10.0.1.1,215,13.5,1.0000,1
54.075,10.0.3.3,278,21.3,1.0000,1
54.202,10.0.2.2,226,18.0,1.0000,1
54.603,10.0.1.1,180,16.4,1.0000,1
55.113,10.0.3.3,222,20.2,1.0000,1
55.220,10.0.2.2,188,17.7,1.0000,1
55.603,10.0.1.1,154,15.0,1.0000,1
56.114,10.0.3.3,156,19.0,1.0000,1
56.276,10.0.2.2,139,17.1,1.0000,1
56.603,10.0.1.1,119,15.0,1.0000,1
57.149,10.0.3.3,135,18.4,1.0000,1
57.329,10.0.2.2,122,17.1,1.0000,1
57.603,10.0.1.1,107,15.0,1.0000,1
58.225,10.0.3.3,119,14.9,0.5625,1
58.399,10.0.2.2,109,12.2,0.3846,1
58.664,10.0.1.1,97,9.4,0.0000,0
59.314,10.0.3.3,106,9.2,0.0000,0
59.456,10.0.2.2,98,8.5,0.0000,0
59.703,10.0.1.1,131,10.6,0.0000,0
60.340,10.0.3.3,140,11.7,0.0000,0
60.554,10.0.2.2,132,10.9,0.0000,0
60.744,10.0.1.1,182,15.4,0.0000,0
61.380,10.0.3.3,191,15.4,0.0000,0
61.562,10.0.2.2,183,14.9,0.0000,0
61.799,10.0.1.1,239,19.0,0.0000,0
62.399,10.0.3.3,247,17.7,0.5556,1
62.599,10.0.2.2,240,16.4,0.7059,1
62.836,10.0.1.1,294,19.3,0.9500,1
63.417,10.0.3.3,273,16.7,1.0000,1
63.636,10.0.2.2,273,16.4,1.0000,1
63.890,10.0.1.1,308,19.0,1.0000,1
64.454,10.0.3.3,228,16.4,1.0000,1
64.672,10.0.2.2,228,16.4,1.0000,1
64.908,10.0.1.1,254,19.6,1.0000,1
65.491,10.0.3.3,191,16.4,1.0000,1
65.708,10.0.2.2,191,17.4,1.0000,1
65.926,10.0.1.1,210,19.7,1.0000,1
66.564,10.0.3.3,163,15.8,1.0000,1
66.726,10.0.2.2,163,16.7,1.0000,1
66.944,10.0.1.1,177,18.7,1.0000,1
67.619,10.0.3.3,141,16.1,1.0000,1
67.763,10.0.2.2,141,16.4,1.0000,1
67.945,10.0.1.1,152,19.0,1.0000,1
68.708,10.0.3.3,124,14.7,1.0000,1
68.871,10.0.2.2,124,13.5,1.0000,1
69.071,10.0.1.1,133,12.4,1.0000,1
69.526,10.0.4.4,575,32.4,1.0000,1
69.763,10.0.3.3,111,6.6,1.0000,1
69.926,10.0.2.2,111,6.6,1.0000,1
70.144,10.0.1.1,118,7.5,1.0000,1
70.526,10.0.4.4,474,32.0,1.0000,1
70.928,10.0.3.3,100,6.9,1.0000,1
71.035,10.0.2.2,100,7.2,1.0000,1
71.198,10.0.1.1,106,7.6,1.0000,1
71.545,10.0.4.4,474,30.4,1.0000,1
72.036,10.0.3.3,100,7.2,1.0000,1
72.144,10.0.2.2,100,7.2,1.0000,1
72.218,10.0.1.1,106,7.9,1.0000,1
72.581,10.0.4.4,361,27.0,1.0000,1
73.108,10.0.3.3,91,7.5,1.0000,1
73.217,10.0.2.2,91,8.4,1.0000,1
73.345,10.0.1.1,88,8.9,1.0000,1
73.636,10.0.4.4,278,26.5,1.0000,1
74.200,10.0.3.3,77,8.2,1.0000,1
74.290,10.0.2.2,77,8.4,1.0000,1
74.345,10.0.1.1,81,9.0,1.0000,1
74.655,10.0.4.4,184,23.6,1.0000,1
75.219,10.0.3.3,71,8.8,1.0000,1
75.363,10.0.1.1,75,9.8,1.0000,1
75.399,10.0.2.2,71,9.0,1.0000,1
75.691,10.0.4.4,156,21.2,1.0000,1
76.400,10.0.3.3,66,8.5,0.7000,1
76.484,10.0.2.2,66,8.3,0.5556,1
76.521,10.0.1.1,70,8.6,0.6000,1
76.707,10.0.4.4,135,15.8,0.4375,1
77.475,10.0.3.3,62,5.6,0.0000,0
77.583,10.0.1.1,65,5.7,0.0000,0
77.638,10.0.2.2,62,5.2,0.0000,0
77.813,10.0.4.4,119,9.9,0.0000,0
78.511,10.0.3.3,98,7.7,0.0000,0
78.706,10.0.1.1,100,8.0,0.0000,0
78.760,10.0.2.2,98,8.0,0.0000,0
78.815,10.0.4.4,152,13.0,0.0000,0
79.561,10.0.3.3,153,12.4,0.0000,0
79.724,10.0.1.1,154,11.8,0.0000,0
79.760,10.0.2.2,153,12.0,0.0000,0
79.851,10.0.4.4,201,15.4,0.0625,0
80.579,10.0.3.3,214,12.8,0.7692,1
80.779,10.0.1.1,215,12.3,1.0000,1
80.833,10.0.2.2,214,12.1,1.0000,1
80.888,10.0.4.4,255,14.5,1.0000,1
81.652,10.0.3.3,271,13.0,1.0000,1
81.815,10.0.1.1,271,12.5,1.0000,1
81.834,10.0.2.2,271,12.0,1.0000,1
81.924,10.0.4.4,274,13.5,1.0000,1
82.671,10.0.3.3,271,13.7,1.0000,1
82.851,10.0.1.1,271,13.5,1.0000,1
82.906,10.0.2.2,271,14.0,1.0000,1
82.960,10.0.4.4,274,15.4,1.0000,1
83.671,10.0.3.3,226,10.0,1.0000,1
83.906,10.0.1.1,226,18.0,1.0000,1
84.015,10.0.2.2,226,9.9,1.0000,1
84.051,10.0.4.4,228,14.7,1.0000,1
84.743,10.0.3.3,190,14.9,1.0000,1
84.943,10.0.1.1,190,8.7,1.0000,1
85.033,10.0.2.2,190,15.7,1.0000,1
85.087,10.0.4.4,191,16.4,1.0000,1
85.780,10.0.3.3,162,12.5,1.0000,1
85.978,10.0.1.1,162,11.6,1.0000,1
86.069,10.0.2.2,162,13.5,1.0000,1
86.197,10.0.4.4,163,12.6,1.0000,1
86.854,10.0.3.3,141,13.0,1.0000,1
87.033,10.0.1.1,141,12.3,1.0000,1
87.160,10.0.2.2,141,12.8,1.0000,1
87.252,10.0.4.4,141,13.3,1.0000,1
87.907,10.0.3.3,111,12.3,1.0000,1
88.069,10.0.1.1,111,12.5,1.0000,1
88.178,10.0.2.2,111,12.8,1.0000,1
88.269,10.0.4.4,111,12.8,1.0000,1
88.942,10.0.3.3,100,11.6,1.0000,1
89.124,10.0.1.1,100,12.3,1.0000,1
89.215,10.0.2.2,100,12.5,1.0000,1
89.270,10.0.4.4,100,13.0,1.0000,1
89.962,10.0.3.3,91,12.7,0.9231,1
90.207,10.0.1.1,91,12.0,0.7692,1
90.312,10.0.4.4,91,11.5,0.6667,1
90.329,10.0.2.2,91,11.7,0.6923,1
91.029,10.0.3.3,83,7.5,0.0000,0
91.305,10.0.1.1,83,7.3,0.0000,0
91.404,10.0.4.4,83,7.3,0.0000,0
91.426,10.0.2.2,83,7.3,0.0000,0
92.039,10.0.3.3,118,9.9,0.0000,0
92.337,10.0.1.1,118,9.7,0.0000,0
92.463,10.0.4.4,118,9.4,0.0000,0
92.488,10.0.2.2,118,9.4,0.0000,0
93.045,10.0.3.3,171,12.9,0.0000,0
93.391,10.0.1.1,171,12.3,0.2308,0
93.499,10.0.4.4,171,12.5,0.3077,1
93.518,10.0.2.2,171,12.6,0.3846,1
94.064,10.0.3.3,229,14.7,1.0000,1
94.446,10.0.1.1,229,13.3,1.0000,1
94.554,10.0.4.4,217,12.3,1.0000,1
94.574,10.0.2.2,217,12.3,1.0000,1
95.082,10.0.3.3,272,14.7,1.0000,1
95.481,10.0.1.1,272,13.5,1.0000,1
95.590,10.0.2.2,186,11.8,1.0000,1
95.627,10.0.4.4,186,11.2,1.0000,1
96.099,10.0.3.3,227,14.7,1.0000,1
96.536,10.0.1.1,272,16.1,1.0000,1
96.681,10.0.2.2,186,11.0,1.0000,1
96.754,10.0.4.4,186,10.6,1.0000,1
97.136,10.0.3.3,227,15.4,1.0000,1
97.555,10.0.1.1,227,17.7,1.0000,1
97.737,10.0.2.2,160,14.2,1.0000,1
97.827,10.0.4.4,160,5.6,1.0000,1
98.137,10.0.3.3,191,15.0,1.0000,1
98.756,10.0.2.2,124,14.7,1.0000,1
98.863,10.0.4.4,124,15.4,1.0000,1
99.155,10.0.3.3,141,18.7,1.0000,1
99.774,10.0.2.2,111,15.7,1.0000,1
99.864,10.0.4.4,111,16.0,1.0000,1
100.192,10.0.3.3,124,18.3,0.9474,1
