elapsed_s,src_ip,rate_kbps,pps,ce_fraction,congested
9.954,10.0.1.1,575,44.7,0.0000,0
10.974,10.0.1.1,575,45.1,0.0000,0
11.983,10.0.1.1,575,46.5,0.0000,0
12.999,10.0.1.1,575,45.3,0.0000,0
14.018,10.0.1.1,575,46.1,0.0000,0
15.035,10.0.1.1,575,46.2,0.0000,0
16.054,10.0.1.1,575,45.1,0.0000,0
17.060,10.0.1.1,575,43.7,0.0000,0
18.070,10.0.1.1,575,46.5,0.0000,0
19.077,10.0.1.1,575,44.7,0.0000,0
20.087,10.0.1.1,575,45.5,0.0000,0
21.104,10.0.1.1,575,45.2,0.0000,0
22.124,10.0.1.1,575,46.1,0.0000,0
23.141,10.0.1.1,575,45.2,0.0000,0
24.152,10.0.1.1,575,45.5,0.0000,0
25.153,10.0.1.1,575,45.9,0.0000,0
26.158,10.0.1.1,575,45.8,0.0000,0
27.164,10.0.1.1,575,46.7,0.0000,0
28.182,10.0.1.1,575,45.2,0.0000,0
29.194,10.0.1.1,575,46.4,0.0000,0
30.221,10.0.1.1,575,32.1,0.5152,1
30.437,10.0.2.2,575,28.0,0.7857,1
31.238,10.0.1.1,474,25.6,1.0000,1
31.456,10.0.2.2,474,27.5,1.0000,1
32.275,10.0.1.1,361,27.0,1.0000,1
32.474,10.0.2.2,474,28.5,1.0000,1
33.293,10.0.1.1,361,26.5,1.0000,1
33.492,10.0.2.2,361,25.5,1.0000,1
34.311,10.0.1.1,278,26.5,1.0000,1
34.493,10.0.2.2,278,27.0,1.0000,1
35.312,10.0.1.1,184,25.0,1.0000,1
35.511,10.0.2.2,184,26.5,1.0000,1
36.382,10.0.1.1,156,23.4,0.7600,1
36.515,10.0.2.2,156,21.9,0.6818,1
37.404,10.0.1.1,135,11.7,0.0000,0
37.572,10.0.2.2,135,11.4,0.0000,0
38.470,10.0.1.1,168,14.1,0.0000,0
38.633,10.0.2.2,168,14.1,0.0000,0
39.496,10.0.1.1,216,17.5,0.0000,0
39.642,10.0.2.2,216,17.8,0.0000,0
40.514,10.0.1.1,269,22.6,0.0000,0
40.642,10.0.2.2,269,22.0,0.0000,0
41.522,10.0.1.1,319,26.8,0.0000,0
41.666,10.0.2.2,319,26.4,0.0000,0
42.540,10.0.1.1,364,26.5,0.4444,1
42.666,10.0.2.2,364,27.0,0.5185,1
43.559,10.0.1.1,332,26.5,1.0000,1
43.684,10.0.2.2,332,26.5,1.0000,1
44.577,10.0.1.1,272,26.5,1.0000,1
44.721,10.0.2.2,272,26.0,0.9630,1
45.630,10.0.1.1,223,20.9,0.0455,0
45.727,10.0.2.2,223,20.9,0.0476,0
46.657,10.0.1.1,258,21.4,0.0000,0
46.747,10.0.2.2,258,21.6,0.0000,0
47.679,10.0.1.1,301,25.4,0.0000,0
47.751,10.0.2.2,301,24.9,0.0000,0
48.698,10.0.1.1,344,26.5,0.0000,0
48.805,10.0.2.2,344,26.6,0.0000,0
49.715,10.0.1.1,383,26.5,0.8148,1
49.805,10.0.2.2,383,27.0,1.0000,1
50.750,10.0.1.1,327,25.1,1.0000,1
50.841,10.0.2.2,327,24.1,1.0000,1
51.697,10.0.3.3,575,25.1,1.0000,1
51.751,10.0.1.1,268,14.0,1.0000,1
51.860,10.0.2.2,268,14.7,1.0000,1
52.751,10.0.3.3,575,25.6,1.0000,1
52.823,10.0.1.1,268,14.0,1.0000,1
52.896,10.0.2.2,268,15.4,1.0000,1
53.770,10.0.3.3,474,30.4,1.0000,1
53.896,10.0.1.1,220,15.8,1.0000,1
53.969,10.0.2.2,220,8.4,1.0000,1
54.771,10.0.3.3,361,27.0,1.0000,1
54.969,10.0.2.2,184,16.0,1.0000,1
55.024,10.0.1.1,184,10.6,1.0000,1
55.790,10.0.3.3,278,24.5,1.0000,1
56.024,10.0.2.2,157,15.2,1.0000,1
56.060,10.0.1.1,157,13.5,1.0000,1
56.809,10.0.3.3,184,22.6,1.0000,1
57.081,10.0.2.2,120,14.2,1.0000,1
57.103,10.0.1.1,120,14.4,1.0000,1
57.809,10.0.3.3,156,21.0,1.0000,1
58.152,10.0.2.2,107,14.9,1.0000,1
58.179,10.0.1.1,107,14.9,1.0000,1
58.813,10.0.3.3,135,17.9,0.6667,1
59.214,10.0.2.2,97,10.4,0.2727,0
59.237,10.0.1.1,97,10.4,0.2727,0
59.896,10.0.3.3,119,10.2,0.0000,0
60.230,10.0.2.2,131,10.8,0.0000,0
60.257,10.0.1.1,131,10.8,0.0000,0
60.926,10.0.3.3,152,12.6,0.0000,0
61.294,10.0.2.2,182,15.0,0.0000,0
61.317,10.0.1.1,182,15.1,0.0000,0
61.931,10.0.3.3,201,15.9,0.0000,0
62.313,10.0.2.2,239,17.7,0.2778,0
62.348,10.0.1.1,239,18.4,0.3158,1
62.984,10.0.3.3,255,17.1,0.8889,1
63.386,10.0.2.2,294,18.6,1.0000,1
63.420,10.0.1.1,272,16.8,1.0000,1
64.021,10.0.3.3,274,16.4,1.0000,1
64.422,10.0.2.2,308,19.3,1.0000,1
64.457,10.0.1.1,227,16.4,1.0000,1
65.022,10.0.3.3,228,18.0,1.0000,1
65.422,10.0.2.2,254,20.0,1.0000,1
65.494,10.0.1.1,191,15.4,1.0000,1
66.076,10.0.3.3,191,17.1,1.0000,1
66.458,10.0.2.2,210,20.3,1.0000,1
66.548,10.0.1.1,163,15.2,1.0000,1
67.096,10.0.3.3,163,16.7,1.0000,1
67.494,10.0.2.2,177,19.3,1.0000,1
67.602,10.0.1.1,141,15.2,1.0000,1
68.131,10.0.3.3,141,16.4,1.0000,1
68.514,10.0.2.2,152,19.6,1.0000,1
68.621,10.0.1.1,124,15.7,1.0000,1
69.149,10.0.3.3,124,16.7,0.9412,1
69.568,10.0.2.2,133,16.1,0.5882,1
69.688,10.0.1.1,111,13.1,0.5000,1
70.154,10.0.3.3,111,10.0,0.0000,0
70.663,10.0.2.2,118,8.2,0.3333,1
70.699,10.0.1.1,100,6.9,0.4286,1
70.935,10.0.4.4,575,33.4,0.6765,1
71.226,10.0.3.3,145,8.4,1.0000,1
