elapsed_s,src_ip,rate_kbps,pps,ce_fraction,congested
7.536,10.0.1.1,575,44.8,0.0000,0
8.554,10.0.1.1,575,46.2,0.0000,0
9.568,10.0.1.1,575,46.4,0.0000,0
10.581,10.0.1.1,575,44.4,0.0000,0
11.598,10.0.1.1,575,45.2,0.0000,0
12.619,10.0.1.1,575,45.1,0.0000,0
13.626,10.0.1.1,575,45.7,0.0000,0
14.642,10.0.1.1,575,45.3,0.0000,0
15.656,10.0.1.1,575,44.4,0.0000,0
16.674,10.0.1.1,575,44.2,0.0000,0
17.684,10.0.1.1,575,45.5,0.0000,0
18.698,10.0.1.1,575,46.4,0.0000,0
19.718,10.0.1.1,575,46.1,0.0000,0
20.741,10.0.1.1,575,46.0,0.0000,0
21.758,10.0.1.1,575,46.2,0.0000,0
22.759,10.0.1.1,575,45.0,0.0000,0
23.759,10.0.1.1,575,46.0,0.0000,0
24.769,10.0.1.1,575,45.6,0.0000,0
25.776,10.0.1.1,575,46.7,0.0000,0
26.782,10.0.1.1,575,45.7,0.0000,0
27.804,10.0.1.1,575,34.2,0.3714,1
28.132,10.0.2.2,575,29.0,0.7931,1
28.841,10.0.1.1,474,25.1,1.0000,1
29.150,10.0.2.2,474,27.5,1.0000,1
29.859,10.0.1.1,361,27.5,1.0000,1
30.150,10.0.2.2,474,28.0,1.0000,1
30.877,10.0.1.1,361,25.5,1.0000,1
31.187,10.0.2.2,361,26.0,1.0000,1
31.877,10.0.1.1,278,27.0,1.0000,1
32.224,10.0.2.2,222,27.0,1.0000,1
32.895,10.0.1.1,184,24.6,1.0000,1
33.259,10.0.2.2,184,27.0,1.0000,1
33.948,10.0.1.1,156,23.7,0.8400,1
34.307,10.0.2.2,156,20.0,0.5238,1
34.986,10.0.1.1,135,11.6,0.0000,0
35.333,10.0.2.2,135,11.7,0.0000,0
36.050,10.0.1.1,168,14.1,0.0000,0
36.413,10.0.2.2,168,13.9,0.0000,0
37.057,10.0.1.1,216,17.9,0.0000,0
37.451,10.0.2.2,216,18.3,0.0000,0
38.065,10.0.1.1,269,21.8,0.0000,0
38.486,10.0.2.2,269,22.2,0.0000,0
39.070,10.0.1.1,319,26.9,0.0000,0
39.505,10.0.2.2,319,25.5,0.0000,0
40.086,10.0.1.1,364,27.5,0.2143,0
40.506,10.0.2.2,364,26.0,0.5769,1
41.087,10.0.1.1,403,28.0,1.0000,1
41.523,10.0.2.2,332,24.6,1.0000,1
42.123,10.0.1.1,346,28.0,1.0000,1
42.542,10.0.2.2,272,24.5,1.0000,1
43.123,10.0.1.1,282,29.0,1.0000,1
43.543,10.0.2.2,223,25.0,1.0000,1
44.159,10.0.1.1,230,25.1,0.5385,1
44.600,10.0.2.2,186,18.0,0.0526,0
45.197,10.0.1.1,191,16.4,0.0000,0
45.646,10.0.2.2,221,18.2,0.0000,0
46.198,10.0.1.1,226,19.0,0.0000,0
46.670,10.0.2.2,266,22.5,0.0000,0
47.215,10.0.1.1,271,22.6,0.0000,0
47.697,10.0.2.2,313,25.3,0.0000,0
48.224,10.0.1.1,317,24.8,0.0000,0
48.751,10.0.2.2,357,22.8,0.2500,0
49.298,10.0.1.1,360,16.7,0.7778,1
49.405,10.0.3.3,575,23.6,0.9583,1
49.807,10.0.2.2,396,16.1,1.0000,1
50.370,10.0.1.1,360,14.9,1.0000,1
50.425,10.0.3.3,575,22.6,1.0000,1
50.878,10.0.2.2,396,15.9,1.0000,1
51.370,10.0.1.1,318,19.0,1.0000,1
51.460,10.0.3.3,474,19.3,1.0000,1
51.952,10.0.2.2,339,19.6,1.0000,1
52.462,10.0.3.3,361,21.0,1.0000,1
52.551,10.0.1.1,215,9.3,1.0000,1
53.026,10.0.2.2,277,21.4,1.0000,1
53.498,10.0.3.3,278,21.2,1.0000,1
53.698,10.0.1.1,215,15.7,1.0000,1
54.096,10.0.2.2,226,16.8,1.0000,1
54.534,10.0.3.3,222,20.3,1.0000,1
54.734,10.0.1.1,180,16.4,1.0000,1
55.153,10.0.2.2,188,17.0,1.0000,1
55.588,10.0.3.3,156,18.0,1.0000,1
55.751,10.0.1.1,134,15.7,1.0000,1
56.170,10.0.2.2,139,17.7,1.0000,1
56.590,10.0.3.3,135,18.0,1.0000,1
56.788,10.0.1.1,119,15.4,1.0000,1
57.190,10.0.2.2,122,16.7,1.0000,1
57.681,10.0.3.3,119,16.5,0.7778,1
57.846,10.0.1.1,107,14.2,0.6667,1
58.292,10.0.2.2,109,11.8,0.3077,1
58.776,10.0.3.3,106,9.1,0.0000,0
58.918,10.0.1.1,97,8.4,0.0000,0
59.354,10.0.2.2,98,8.5,0.0000,0
59.807,10.0.3.3,140,11.6,0.0000,0
59.934,10.0.1.1,131,10.8,0.0000,0
60.366,10.0.2.2,132,10.9,0.0000,0
60.820,10.0.3.3,191,15.8,0.0000,0
60.946,10.0.1.1,182,14.8,0.0000,0
61.456,10.0.2.2,183,14.7,0.0000,0
61.891,10.0.3.3,247,18.7,0.1000,0
62.000,10.0.1.1,239,18.0,0.2105,0
62.510,10.0.2.2,240,16.1,0.5294,1
62.946,10.0.3.3,301,19.0,0.9500,1
63.000,10.0.1.1,294,18.0,1.0000,1
63.583,10.0.2.2,273,15.9,1.0000,1
63.964,10.0.3.3,308,18.7,1.0000,1
64.037,10.0.1.1,308,18.3,1.0000,1
64.620,10.0.2.2,228,16.4,1.0000,1
65.019,10.0.3.3,254,18.0,1.0000,1
65.073,10.0.1.1,254,18.3,1.0000,1
65.656,10.0.2.2,228,15.5,1.0000,1
66.020,10.0.3.3,254,19.0,1.0000,1
66.146,10.0.1.1,254,18.6,1.0000,1
66.692,10.0.2.2,191,15.4,1.0000,1
67.056,10.0.3.3,210,18.3,1.0000,1
67.164,10.0.1.1,210,18.7,1.0000,1
67.709,10.0.2.2,163,15.7,1.0000,1
68.073,10.0.3.3,152,17.7,1.0000,1
68.164,10.0.1.1,152,18.0,1.0000,1
68.782,10.0.2.2,124,14.0,1.0000,1
69.091,10.0.3.3,133,12.8,1.0000,1
69.273,10.0.1.1,133,11.7,1.0000,1
69.601,10.0.4.4,575,31.0,1.0000,1
69.874,10.0.2.2,124,7.3,1.0000,1
70.182,10.0.3.3,133,9.2,1.0000,1
70.309,10.0.1.1,133,8.7,1.0000,1
70.619,10.0.4.4,575,31.4,1.0000,1
71.001,10.0.2.2,111,5.3,1.0000,1
71.256,10.0.3.3,118,7.5,1.0000,1
71.455,10.0.1.1,118,4.4,1.0000,1
71.636,10.0.4.4,474,36.4,1.0000,1
72.037,10.0.2.2,100,5.8,1.0000,1
72.330,10.0.3.3,106,9.3,1.0000,1
72.528,10.0.1.1,106,9.3,1.0000,1
72.691,10.0.4.4,361,27.5,1.0000,1
73.129,10.0.2.2,91,8.2,1.0000,1
73.455,10.0.3.3,88,8.0,1.0000,1
73.545,10.0.1.1,96,8.9,1.0000,1
73.709,10.0.4.4,278,25.5,1.0000,1
74.220,10.0.2.2,77,8.2,1.0000,1
74.456,10.0.3.3,81,9.0,1.0000,1
74.655,10.0.1.1,81,9.0,1.0000,1
74.727,10.0.4.4,184,23.6,1.0000,1
75.239,10.0.2.2,71,8.8,1.0000,1
75.511,10.0.3.3,75,9.5,1.0000,1
75.673,10.0.1.1,75,9.8,1.0000,1
75.746,10.0.4.4,156,21.6,1.0000,1
76.239,10.0.2.2,66,9.0,0.8889,1
76.638,10.0.3.3,70,8.9,0.6000,1
76.738,10.0.1.1,70,8.5,0.5556,1
76.789,10.0.4.4,135,16.3,0.5294,1
77.274,10.0.2.2,62,5.8,0.0000,0
77.692,10.0.3.3,65,5.7,0.0000,0
77.778,10.0.1.1,65,5.8,0.0000,0
77.856,10.0.4.4,119,10.3,0.0000,0
78.302,10.0.2.2,98,7.8,0.0000,0
78.707,10.0.3.3,100,7.9,0.0000,0
78.904,10.0.4.4,152,12.4,0.0000,0
78.927,10.0.1.1,100,7.8,0.0000,0
79.323,10.0.2.2,153,11.7,0.0000,0
79.740,10.0.3.3,154,11.6,0.1667,0
79.958,10.0.4.4,201,15.2,0.3125,1
79.995,10.0.1.1,154,11.2,0.3333,1
80.378,10.0.2.2,214,14.2,0.7333,1
80.741,10.0.3.3,215,13.0,1.0000,1
80.958,10.0.4.4,220,13.0,1.0000,1
81.068,10.0.1.1,216,12.1,1.0000,1
81.413,10.0.2.2,271,14.5,1.0000,1
81.741,10.0.3.3,271,13.0,1.0000,1
81.996,10.0.4.4,188,11.6,1.0000,1
82.085,10.0.1.1,185,11.8,1.0000,1
82.413,10.0.2.2,226,15.0,1.0000,1
82.796,10.0.3.3,271,16.1,1.0000,1
83.050,10.0.4.4,188,11.4,1.0000,1
83.176,10.0.1.1,185,11.0,1.0000,1
